District;Name;TypeObject;Longitude;Latitude;Рейтинг;Отзывы;Y;Norm Y
Тверской;PastFood;кафе;37.5779449999999930;55.7739257626210400;4,2;10;29,01257217;33,11835157
Тверской;Newada;бар;37.5779449999999930;55.7739257626210400;4,9;38;40,38950609;57,57257098
Тверской;IKI Bar Kitchen;кафе;37.5779449999999930;55.7739257626210400;4,3;6;27,50679752;29,88175514
Тверской;Eleven Meathouse;ресторан;37.5789900000000050;55.7742717627216540;4,3;78;38,53607975;53,58871253
Тверской;Lola Pizza and Bar;бар;37.5789900000000050;55.7742717627216540;4,2;89;38,19398753;52,85340034
Тверской;Мята Platinum;бар;37.5789900000000050;55.7742717627216540;4,4;47;37,20339827;50,72417225
Тверской;Qartuli;ресторан;37.5789900000000050;55.7742717627216540;4,5;33;36,45754986;49,12100389
Тверской;Белка;ресторан;37.5789900000000050;55.7742717627216540;4,2;127;39,68730054;56,06321102
Тверской;Бургер Кинг;предприятие быстрого обслуживания;37.5814189999999750;55.7768897634830620;4,2;176;41,05774756;59,00892664
Тверской;Правда Кофе;кафетерий;37.5839530000000220;55.7751857629874550;4,2;16;30,98658741;37,36141057
Тверской;Kikidze;кафе;37.5842990000000010;55.7753717630415480;4,3;65;37,75209706;51,90357619
Тверской;МАКДОНАЛДС;предприятие быстрого обслуживания;37.5843490000000100;55.7753657630398010;4,4;697;49,06860463;76,2279118
Тверской;ПитаПита;кафе;37.5843490000000100;55.7753657630398010;3,9;6;24,94802566;24,38178748
Тверской;Хинкальная Пил Пили;кафе;37.5847132683984530;55.7786192846772830;4,6;758;51,68492643;81,85158052
Тверской;Донер в Пите;предприятие быстрого обслуживания;37.5847620000000050;55.7756137631119270;4,2;6;26,86710455;28,50676322
Тверской;One more pab;кафе;37.5850695838894000;55.7785885279997000;4,6;743;51,59298466;81,65395573
Тверской;Coffee Streеt;кафетерий;37.5852730000000150;55.7759997632241920;4,2;3;23,95588639;22,24922775
Тверской;SURF COFFEE;кафе;37.5853148680818800;55.7773147132211730;4,4;58;38,12869806;52,71306349
Тверской;Паддис;кафе;37.5853400000000020;55.7769777635086540;4,4;107;40,82319569;58,50476771
Тверской;Маникюр энд бар;бар;37.5853400000000020;55.7769777635086540;5;203;49,59188083;77,35267099
Тверской;Мимино;кафе;37.5853400000000020;55.7769777635086540;4,3;236;43,29670856;63,8214749
Тверской;Биркрафт;бар;37.5853400000000020;55.7769777635086540;4,4;173;42,93723183;63,04879548
Тверской;Кулинарная лавка братьев Караваевых;магазин (отдел кулинарии);37.5853400000000020;55.7769777635086540;4,4;387;46,47981747;70,66342759
Тверской;ЧанЧан;кафе;37.5853400000000020;55.7769777635086540;4,4;420;46,83986955;71,43734371
Тверской;EVA;ресторан;37.5855850000000020;55.7742027627015770;4,7;227;47,14156496;72,08582473
Тверской;Cofix;кафетерий;37.5855889999999920;55.7768057634586330;4,2;82;37,84993562;52,11387587
Тверской;САПЕРАВИ;кафе;37.5856659117780860;55.7757755598965870;4,4;469;47,325401;72,48097223
Тверской;HELP and FRIEND;бар;37.5856703987104000;55.7758168561906000;4,6;358;48,23423459;74,43447009
Тверской;КУ РАМЕН ИЗАКАЯ БАР;кафе;37.5856900000000070;55.7742087627033310;4,4;262;44,76346463;66,97420262
Тверской;Camera Obscura coffee;кафетерий;37.5858530000000000;55.7784157639269650;4;7;26,20432134;27,08213984
Тверской;КИМЧИ;ресторан;37.5858530000000000;55.7784157639269650;4,8;304;49,54654986;77,25523407
Тверской;Starbucks;кафе;37.5858921648790000;55.7782954680399000;4,3;201;42,6064429;62,33777921
Тверской;Остерия Бьянка;ресторан;37.5859652314992000;55.7781994048772000;4,4;271;44,91207163;67,29362682
Тверской;Магадан;ресторан;37.5859757765176350;55.7784518604360930;4,3;73;38,2512074;52,97639192
Тверской;AQKitchen;ресторан;37.5863340610773590;55.7739864033224530;4,7;419;50,0222932;78,27782347
Тверской;ГРАЦИ;ресторан;37.5865803158539000;55.7758595197524000;4;1;18,42068074;10,3515465
Тверской;Булка;кафе;37.5866413583739000;55.7740312260233000;4,3;177;42,05967565;61,16252703
Тверской;Тэмпл бар;бар;37.5867327686758000;55.7735217840113000;4,4;288;45,17977493;67,8690433
Тверской;Corner Burger;кафе;37.5868057121338380;55.7734782163057830;4,4;253;44,60966257;66,64361183
Тверской;Прайм;кафе;37.5869000091808730;55.7790082461778600;4,2;82;37,84993562;52,11387587
Тверской;Upside Down;кафе;37.5869503083091270;55.7736079438376610;4,6;155;44,38353839;66,15756786
Тверской;Теремок;предприятие быстрого обслуживания;37.5870249999999970;55.7782367638748870;4,2;79;37,69339576;51,77740033
Тверской;АВ-Дейли;кафетерий;37.5871228730106710;55.7745692651987640;4,3;42;35,87421116;47,86714298
Тверской;Рыба моя;кафе;37.5871228730106710;55.7745692651987640;4,7;1855;57,01480776;93,30792617
Тверской;Марукамэ;кафе;37.5871739999999830;55.7789737640892940;4,7;283;48,17790029;74,31338199
Тверской;LUCE;кафе;37.5872884202217000;55.7747374332296000;4,4;53;37,73203324;51,86044988
Тверской;Магнум;бар;37.5873310000000200;55.7779077637791760;4,6;117;43,08978296;63,37669741
Тверской;Хлеб насущный;кафе;37.5873310000000200;55.7779077637791760;4,3;249;43,52727925;64,31707647
Тверской;Кофемания;кафе;37.5873310000000200;55.7779077637791760;4,4;420;46,83986955;71,43734371
Тверской;Торро Гриль;ресторан;37.5873310000000200;55.7779077637791760;4,7;1306;55,36550413;89,76282052
Тверской;CUTFISH;кафе;37.5873310000000200;55.7779077637791760;4,1;21;31,36373976;38,17208295
Тверской;Простые вещи;кафе;37.5875883104323000;55.7732895117177000;4,6;462;49,40738135;76,95609749
Тверской;Дача Гашека;ресторан;37.5876059034255000;55.7735946803525000;4,7;249;47,57632849;73,02032983
Тверской;Кофемания;кафе;37.5876112681709000;55.7746804161038000;4,4;115;41,14045018;59,1866923
Тверской;KROMBACHER BEER KITCHEN;ресторан;37.5879875529221000;55.7742584826839000;4,6;281;47,12021433;72,03993251
Тверской;Пиано;бар;37.5881512518203000;55.7743629993173000;4,1;31;32,9605453;41,60434629
Тверской;BOSTON;кафе;37.5882700000000090;55.7786367639912510;4,8;959;55,06109405;89,10850443
Тверской;MOZZA Pizza;ресторан;37.5882700000000090;55.7786367639912510;4,7;148;45,13119756;67,76462838
Тверской;PAUL;кафе;37.5882700000000090;55.7786367639912510;4,5;197;44,49768262;66,40291585
Тверской;Мамина кухня;магазин (отдел кулинарии);37.5886247165423200;55.7723493048821910;4,3;39;35,55554688;47,18218812
Тверской;CHEESE connection;кафе;37.5887859999999990;55.7790027640977330;4,3;130;40,73262994;58,3101006
Тверской;Жажда крови;ресторан;37.5887859999999990;55.7790027640977330;4,5;92;41,07131443;59,03808804
Тверской;Steak it Easy;ресторан;37.5887859999999990;55.7790027640977330;4,6;386;48,58063476;75,17904201
Тверской;Finch Coffee;кафетерий;37.5894160000000140;55.7786277639886380;4,3;12;30,48733039;36,28827955
Тверской;Мята Poke 4you;бар;37.5897709999999850;55.7797817643243620;4,3;58;37,26213675;50,85042803
Тверской;Ай Plov Ю;кафе;37.5897827019675220;55.7903622518165890;4,6;90;41,88290734;60,78257132
Тверской;Прайм;ресторан;37.5907153362433850;55.7712151977244730;3,3;3;18,82248217;11,21520099
Тверской;HURAT'S PUB;бар;37.5907929999999980;55.7734667624875510;4,6;112;42,88887766;62,94486031
Тверской;Теремок;предприятие быстрого обслуживания;37.5908530000000170;55.7711177618045890;4,2;79;37,69339576;51,77740033
Тверской;ВЕРАНДА 14 Beer Pairing;ресторан;37.5908788913208620;55.7797235992744190;4,2;133;39,88118112;56,47994879
Тверской;Кулинарная лавка братьев Караваевых;магазин (отдел кулинарии);37.5909727461777550;55.7714862602793740;4,3;246;43,4751574;64,20504285
Тверской;Тирольские пироги;кафе;37.5910270000000000;55.7725780000000000;4,5;45;37,85324704;52,12099362
Тверской;Хинкальная;кафе;37.5911564209065360;55.7882386889502090;4,2;36;34,39249432;44,68225777
Тверской;Desert rose;ресторан;37.5911669999999990;55.7738797626076560;4,3;241;43,38685861;64,01524848
Тверской;BLACK ANGUS Гамбринус;ресторан;37.5915442197005000;55.7728828368871000;4,4;636;48,6656225;75,36171943
Тверской;Captains coffee;кафетерий;37.5915920000000130;55.7808917646473500;4,2;3;23,95588639;22,24922775
Тверской;Тable;кафе;37.5915920000000130;55.7808917646473500;4,6;147;44,13977275;65,63360433
Тверской;Домино'с Пицца;предприятие быстрого обслуживания;37.5915920000000130;55.7808917646473500;4;95;36,63618831;49,50497938
Тверской;APPLE and PERRY SHED;бар;37.5916169999999990;55.7801437644296880;5;32;40,35453044;57,49739236
Тверской;Мясо и паста;кафе;37.5917979999999970;55.7790107641000570;4,2;93;38,37863265;53,2502869
Тверской;Хинкали Пойнт;кафе;37.5921810000000040;55.7804927645312320;4,4;376;46,35294105;70,39071231
Тверской;Аленка;кафе;37.5925879009323940;55.7724412251572300;4,1;1;18,88119776;11,34140759
Тверской;ПИЛЗНЕР;ресторан;37.5927057446043020;55.7715639199224430;4,4;653;48,78168819;75,61119753
Тверской;Чайхона №1;кафе;37.5927970000000000;55.7714940000000000;4,3;475;46,30448546;70,28655914
Тверской;Якитория;кафе;37.5927970000000000;55.7714940000000000;4,3;382;45,36754042;68,27263696
Тверской;ТРИУМФ;кафе;37.5929195495495000;55.7885289972103000;4,3;96;39,42892902;55,50785279
Тверской;ПаПан;магазин (отдел кулинарии);37.5935169999999910;55.7879877667127530;4,7;24;36,58115288;49,38668313
Тверской;Pho Pho;кафе;37.5937494238786980;55.7877237032601630;4,4;28;34,92444866;45,82567024
Тверской;Mentano;кафе;37.5937714781118610;55.7704388223887970;4,3;88;39,0547801;54,70363613
Тверской;OnePriceCoffee;кафетерий;37.5942569999999920;55.7714217618929520;4,2;9;28,57005801;32,16718682
Тверской;SeDelice Французская пекарня;кафетерий;37.5942820000000000;55.7714117618900500;4,3;58;37,26213675;50,85042803
Тверской;Кофепорт;кафе;37.5943969560627660;55.7870143750042400;4,4;89;40,01274885;56,76274784
