id;address;population;Longitude;Latitude
8649748;г. Москва, д. 9, к. 1;374;37.61764;55.75581
8963246;г. Москва, д. 42, к. 2;1232;37.61764;55.75581
8932138;г. Москва, д. 2301;244;37.61764;55.75581
8932139;г. Москва, д. 2302;244;37.61764;55.75581
8932140;г. Москва, д. 2303;244;37.61764;55.75581
8932141;г. Москва, д. 2304;244;37.61764;55.75581
8929489;г. Москва, ул. 10-летия Октября, д. 3;244;37.5611;55.72617
8065593;г. Москва, ул. 10-летия Октября, д. 9;73;37.56313;55.72548
7847597;г. Москва, ул. 1812 года, д. 1;647;37.52351;55.73463
7847598;г. Москва, ул. 1812 года, д. 2;845;37.52503;55.73581
7847599;г. Москва, ул. 1812 года, д. 3;309;37.52326;55.7362
7847601;г. Москва, ул. 1812 года, д. 4/45, к. 2;281;37.52615;55.73655
7847678;г. Москва, ул. 1812 года, д. 7;187;37.52176;55.73823
7847683;г. Москва, ул. 1812 года, д. 8, к. 1;270;37.52147;55.74047
7847695;г. Москва, ул. 1812 года, д. 8, к. 2;374;37.52323;55.74062
7847702;г. Москва, ул. 1812 года, д. 9;237;37.52117;55.73892
7847703;г. Москва, ул. 1812 года, д. 10, к. 1;231;37.52113;55.74119
7847708;г. Москва, ул. 1812 года, д. 10, к. 2;374;37.5221;55.7414
7847709;г. Москва, ул. 1812 года, д. 12;445;37.52035;55.74176
8098041;г. Москва, ул. 1905 года, д. 1;234;37.55781;55.75737
8098042;г. Москва, ул. 1905 года, д. 3;250;37.55784;55.75832
8975367;г. Москва, ул. 1905 года, д. 4;330;37.56159;55.76523
8098045;г. Москва, ул. 1905 года, д. 5;598;37.55773;55.75983
8098046;г. Москва, ул. 1905 года, д. 9, стр. 1;166;37.56013;55.76386
8098048;г. Москва, ул. 1905 года, д. 9, стр. 2;169;37.56028;55.76428
8098049;г. Москва, ул. 1905 года, д. 11, стр. 1;172;37.5605;55.76485
8098914;г. Москва, ул. 1905 года, д. 15;439;37.55985;55.76546
8100127;г. Москва, ул. 1905 года, д. 16, к. 1;166;37.55639;55.77116
8100135;г. Москва, ул. 1905 года, д. 17, стр. 1;439;37.55924;55.76611
8100140;г. Москва, ул. 1905 года, д. 19, стр. 1;442;37.55863;55.76671
8098077;г. Москва, ул. 1905 года, д. 21;439;37.55796;55.76731
8098078;г. Москва, ул. 1905 года, д. 23;406;37.55738;55.76796
7631144;г. Москва, ул. 1905 года, д. 25;218;37.55648;55.76828
8934202;г. Москва, проезд. 1-й Ходынский, д. 1;244;37.53553;55.7847
7585688;г. Москва, аллея. 1 Маевки, д. 11, к. 1;94;37.79604;55.725
7585696;г. Москва, аллея. 1 Маевки, д. 11, к. 2;94;37.79645;55.72553
7585705;г. Москва, аллея. 1 Маевки, д. 13, к. 1;70;37.7968;55.72474
7585711;г. Москва, аллея. 1 Маевки, д. 13, к. 2;94;37.79718;55.72508
7674164;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 1, к. 1;372;37.49179;55.65608
7674170;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 1, к. 2;372;37.4908;55.65559
7674221;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 1, к. 3;372;37.48952;55.65499
8083906;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 2, к. 1;372;37.49455;55.65724
7675431;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 2, к. 2;372;37.49535;55.65801
7675395;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 3, к. 1;1212;37.48984;55.65744
8101529;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 3, к. 3;871;37.48783;55.65545
7675470;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 3, к. 3, стр. а,в;577;37.48734;55.65618
7675505;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 4, к. 1;247;37.49299;55.65755
7675588;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 4, к. 3;653;37.49423;55.65883
7675596;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 4, к. 4;278;37.49476;55.65999
7675607;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 6;268;37.49316;55.65882
7675614;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 6, к. 1;372;37.4917;55.65854
7675633;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 6, к. 2;372;37.49253;55.65931
7676381;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 1;281;37.48591;55.6596
7676392;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 2;281;37.48568;55.65876
7676398;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 3;281;37.4854;55.65814
7676407;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 4;260;37.48528;55.65743
7676414;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 5;281;37.48495;55.65672
7676423;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 7, к. 6;416;37.48467;55.65547
7676431;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 1;247;37.49013;55.65882
7676439;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 3;647;37.49141;55.66013
7631529;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 4;281;37.49196;55.66128
7676465;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 5;205;37.49298;55.66072
8083982;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 6;205;37.49355;55.66122
8085773;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 8, к. 7;244;37.49417;55.66077
9077276;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 9;382;37.4857;55.66038
7676477;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 10;286;37.49033;55.66005
7676483;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 10, к. 1;361;37.48888;55.65979
8160356;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 10, к. 2.;372;37.48971;55.66056
7854555;г. Москва, ул. 26-ти Бакинских Комиссаров, д. 10, к. 2;244;37.48971;55.66056
